,mass A,
t,x,y
14.51,-7.09E-02,-3.01E-01
14.544,-7.09E-02,-3.01E-01
14.577,-7.10E-02,-3.00E-01
14.61,-7.17E-02,-3.00E-01
14.644,-7.17E-02,-2.99E-01
14.677,-7.21E-02,-2.99E-01
14.71,-7.23E-02,-2.99E-01
14.744,-7.23E-02,-2.99E-01
14.777,-7.28E-02,-2.98E-01
14.811,-7.29E-02,-2.98E-01
14.844,-7.33E-02,-2.97E-01
14.877,-7.35E-02,-2.97E-01
14.911,-7.36E-02,-2.98E-01
14.944,-7.40E-02,-2.97E-01
14.977,-7.41E-02,-2.97E-01
15.011,-7.41E-02,-2.97E-01
15.044,-7.42E-02,-2.97E-01
15.077,-7.46E-02,-2.96E-01
15.111,-7.47E-02,-2.96E-01
15.144,-7.48E-02,-2.96E-01
15.177,-7.54E-02,-2.95E-01
15.211,-7.55E-02,-2.95E-01
15.244,-7.59E-02,-2.94E-01
15.278,-7.60E-02,-2.94E-01
15.311,-7.64E-02,-2.93E-01
15.344,-7.66E-02,-2.94E-01
15.378,-7.73E-02,-2.93E-01
15.411,-7.78E-02,-2.92E-01
15.444,-7.79E-02,-2.92E-01
15.478,-7.86E-02,-2.91E-01
15.511,-7.90E-02,-2.90E-01
15.544,-7.97E-02,-2.89E-01
15.578,-7.97E-02,-2.89E-01
15.611,-7.99E-02,-2.88E-01
15.644,-8.04E-02,-2.87E-01
15.678,-8.04E-02,-2.87E-01
15.711,-8.05E-02,-2.86E-01
15.745,-8.10E-02,-2.85E-01
15.778,-8.09E-02,-2.85E-01
15.811,-8.10E-02,-2.84E-01
15.845,-8.11E-02,-2.84E-01
15.878,-8.10E-02,-2.84E-01
15.911,-8.12E-02,-2.83E-01
15.945,-8.17E-02,-2.82E-01
15.978,-8.17E-02,-2.82E-01
16.011,-8.17E-02,-2.82E-01
16.045,-8.22E-02,-2.81E-01
16.078,-8.23E-02,-2.81E-01
16.111,-8.29E-02,-2.79E-01
16.145,-8.30E-02,-2.79E-01
16.178,-8.36E-02,-2.78E-01
16.212,-8.40E-02,-2.77E-01
16.245,-8.42E-02,-2.77E-01
16.278,-8.48E-02,-2.76E-01
16.312,-8.54E-02,-2.75E-01
16.345,-8.54E-02,-2.75E-01
16.378,-8.60E-02,-2.73E-01
16.412,-8.61E-02,-2.74E-01
16.445,-8.66E-02,-2.72E-01
16.478,-8.67E-02,-2.72E-01
16.512,-8.72E-02,-2.70E-01
16.545,-8.72E-02,-2.70E-01
16.578,-8.74E-02,-2.69E-01
16.612,-8.79E-02,-2.68E-01
16.645,-8.79E-02,-2.67E-01
16.679,-8.80E-02,-2.67E-01
16.712,-8.85E-02,-2.65E-01
16.745,-8.85E-02,-2.65E-01
16.779,-8.86E-02,-2.65E-01
16.812,-8.91E-02,-2.62E-01
16.845,-8.91E-02,-2.62E-01
16.879,-8.92E-02,-2.62E-01
16.912,-8.92E-02,-2.62E-01
16.945,-8.97E-02,-2.59E-01
16.979,-8.97E-02,-2.59E-01
17.012,-8.98E-02,-2.59E-01
17.045,-8.98E-02,-2.58E-01
17.079,-8.98E-02,-2.58E-01
17.112,-8.98E-02,-2.57E-01
17.146,-8.98E-02,-2.56E-01
17.179,-8.98E-02,-2.55E-01
17.212,-8.98E-02,-2.54E-01
17.246,-8.98E-02,-2.53E-01
17.279,-8.98E-02,-2.51E-01
17.312,-8.98E-02,-2.50E-01
17.346,-8.99E-02,-2.49E-01
17.379,-8.99E-02,-2.48E-01
17.412,-9.00E-02,-2.47E-01
17.446,-9.00E-02,-2.46E-01
17.479,-9.01E-02,-2.45E-01
17.512,-9.04E-02,-2.43E-01
17.546,-9.05E-02,-2.42E-01
17.579,-9.05E-02,-2.41E-01
17.613,-9.04E-02,-2.43E-01
17.646,-9.05E-02,-2.42E-01
17.679,-9.05E-02,-2.41E-01
17.713,-9.06E-02,-2.40E-01
17.746,-9.06E-02,-2.39E-01
17.779,-9.05E-02,-2.39E-01
17.813,-9.05E-02,-2.38E-01
17.846,-9.04E-02,-2.37E-01
17.879,-9.03E-02,-2.36E-01
17.913,-9.03E-02,-2.35E-01
17.946,-9.01E-02,-2.34E-01
17.979,-8.99E-02,-2.33E-01
18.013,-8.98E-02,-2.33E-01
18.046,-8.97E-02,-2.32E-01
18.08,-8.95E-02,-2.31E-01
18.113,-8.93E-02,-2.30E-01
18.146,-8.91E-02,-2.29E-01
18.18,-8.89E-02,-2.27E-01
18.213,-8.86E-02,-2.26E-01
18.246,-8.85E-02,-2.25E-01
18.28,-8.81E-02,-2.24E-01
18.313,-8.80E-02,-2.23E-01
18.346,-8.77E-02,-2.21E-01
18.38,-8.73E-02,-2.21E-01
18.413,-8.69E-02,-2.19E-01
18.446,-8.67E-02,-2.18E-01
18.48,-8.63E-02,-2.17E-01
18.513,-8.60E-02,-2.17E-01
18.547,-8.55E-02,-2.15E-01
18.58,-8.52E-02,-2.14E-01
18.613,-8.48E-02,-2.14E-01
18.647,-8.44E-02,-2.13E-01
18.68,-8.40E-02,-2.12E-01
18.713,-8.38E-02,-2.11E-01
18.747,-8.34E-02,-2.11E-01
18.78,-8.31E-02,-2.10E-01
18.813,-8.29E-02,-2.09E-01
18.847,-8.25E-02,-2.08E-01
18.88,-8.24E-02,-2.07E-01
18.913,-8.22E-02,-2.07E-01
18.947,-8.19E-02,-2.06E-01
18.98,-8.17E-02,-2.05E-01
19.014,-8.13E-02,-2.04E-01
19.047,-8.11E-02,-2.03E-01
19.08,-8.06E-02,-2.01E-01
19.114,-8.01E-02,-2.00E-01
19.147,-7.97E-02,-2.00E-01
19.18,-7.92E-02,-1.98E-01
19.214,-7.86E-02,-1.97E-01
19.247,-7.81E-02,-1.96E-01
19.28,-7.74E-02,-1.95E-01
19.314,-7.68E-02,-1.94E-01
19.347,-7.61E-02,-1.94E-01
19.38,-7.55E-02,-1.93E-01
19.414,-7.49E-02,-1.92E-01
19.447,-7.41E-02,-1.91E-01
19.481,-7.36E-02,-1.90E-01
19.514,-7.30E-02,-1.90E-01
19.547,-7.25E-02,-1.89E-01
19.581,-7.19E-02,-1.88E-01
19.614,-7.11E-02,-1.87E-01
19.647,-7.06E-02,-1.87E-01
19.681,-7.01E-02,-1.86E-01
19.714,-6.96E-02,-1.85E-01
19.747,-6.92E-02,-1.85E-01
19.781,-6.87E-02,-1.84E-01
19.814,-6.82E-02,-1.83E-01
19.847,-6.76E-02,-1.83E-01
19.881,-6.72E-02,-1.82E-01
19.914,-6.67E-02,-1.81E-01
19.948,-6.61E-02,-1.81E-01
19.981,-6.55E-02,-1.80E-01
20.014,-6.48E-02,-1.79E-01
20.048,-6.42E-02,-1.79E-01
20.081,-6.32E-02,-1.78E-01
20.114,-6.25E-02,-1.77E-01
20.148,-6.17E-02,-1.76E-01
20.181,-6.11E-02,-1.76E-01
20.214,-6.01E-02,-1.75E-01
20.248,-5.94E-02,-1.74E-01
20.281,-5.86E-02,-1.73E-01
20.314,-5.80E-02,-1.72E-01
20.348,-5.74E-02,-1.72E-01
20.381,-5.68E-02,-1.71E-01
20.415,-5.61E-02,-1.71E-01
20.448,-5.55E-02,-1.70E-01
20.481,-5.50E-02,-1.69E-01
20.515,-5.43E-02,-1.69E-01
20.548,-5.36E-02,-1.68E-01
20.581,-5.29E-02,-1.68E-01
20.615,-5.23E-02,-1.67E-01
20.648,-5.19E-02,-1.67E-01
20.681,-5.11E-02,-1.66E-01
20.715,-5.04E-02,-1.66E-01
20.748,-4.98E-02,-1.66E-01
20.781,-4.91E-02,-1.65E-01
20.815,-4.85E-02,-1.65E-01
20.848,-4.77E-02,-1.65E-01
20.882,-4.68E-02,-1.64E-01
20.915,-4.59E-02,-1.63E-01
20.948,-4.53E-02,-1.63E-01
20.982,-4.45E-02,-1.63E-01
21.015,-4.37E-02,-1.62E-01
21.048,-4.28E-02,-1.62E-01
21.082,-4.20E-02,-1.61E-01
21.115,-4.11E-02,-1.60E-01
21.148,-4.02E-02,-1.60E-01
21.182,-3.97E-02,-1.59E-01
21.215,-3.88E-02,-1.59E-01
21.248,-3.81E-02,-1.58E-01
21.282,-3.72E-02,-1.58E-01
21.315,-3.67E-02,-1.57E-01
21.349,-3.59E-02,-1.57E-01
21.382,-3.54E-02,-1.57E-01
21.415,-3.47E-02,-1.57E-01
21.449,-3.42E-02,-1.56E-01
21.482,-3.35E-02,-1.56E-01
21.515,-3.30E-02,-1.56E-01
21.549,-3.23E-02,-1.55E-01
21.582,-3.19E-02,-1.55E-01
21.615,-3.16E-02,-1.55E-01
21.649,-3.09E-02,-1.55E-01
21.682,-3.05E-02,-1.54E-01
21.715,-2.98E-02,-1.54E-01
21.749,-2.93E-02,-1.54E-01
21.782,-2.85E-02,-1.53E-01
21.816,-2.79E-02,-1.53E-01
21.849,-2.72E-02,-1.53E-01
21.882,-2.66E-02,-1.52E-01
21.916,-2.58E-02,-1.52E-01
21.949,-2.52E-02,-1.52E-01
21.982,-2.45E-02,-1.52E-01
22.016,-2.37E-02,-1.51E-01
22.049,-2.29E-02,-1.51E-01
22.082,-2.21E-02,-1.51E-01
22.116,-2.14E-02,-1.51E-01
22.149,-2.08E-02,-1.51E-01
22.182,-2.02E-02,-1.51E-01
22.216,-1.96E-02,-1.51E-01
22.249,-1.91E-02,-1.51E-01
22.283,-1.85E-02,-1.51E-01
22.316,-1.80E-02,-1.51E-01
22.349,-1.75E-02,-1.51E-01
22.383,-1.71E-02,-1.51E-01
22.416,-1.68E-02,-1.51E-01
22.449,-1.64E-02,-1.51E-01
22.483,-1.60E-02,-1.51E-01
22.516,-1.58E-02,-1.51E-01
22.549,-1.55E-02,-1.51E-01
22.583,-1.52E-02,-1.51E-01
22.616,-1.47E-02,-1.50E-01
22.649,-1.44E-02,-1.50E-01
22.683,-1.40E-02,-1.50E-01
22.716,-1.35E-02,-1.50E-01
22.75,-1.31E-02,-1.50E-01
22.783,-1.27E-02,-1.49E-01
22.816,-1.22E-02,-1.49E-01
22.85,-1.17E-02,-1.49E-01
22.883,-1.11E-02,-1.49E-01
22.916,-1.05E-02,-1.49E-01
22.95,-9.86E-03,-1.49E-01
22.983,-9.24E-03,-1.49E-01
23.016,-8.71E-03,-1.49E-01
23.05,-8.29E-03,-1.49E-01
23.083,-7.90E-03,-1.49E-01
23.116,-7.52E-03,-1.49E-01
23.15,-7.22E-03,-1.49E-01
23.183,-6.92E-03,-1.49E-01
23.217,-6.61E-03,-1.49E-01
23.25,-6.38E-03,-1.49E-01
23.283,-6.23E-03,-1.49E-01
23.317,-6.10E-03,-1.49E-01
23.35,-5.93E-03,-1.49E-01
23.383,-5.83E-03,-1.49E-01
23.417,-5.78E-03,-1.49E-01
23.45,-5.75E-03,-1.49E-01
23.483,-5.65E-03,-1.49E-01
23.517,-5.55E-03,-1.49E-01
23.55,-5.39E-03,-1.49E-01
23.583,-5.18E-03,-1.50E-01
23.617,-5.00E-03,-1.50E-01
23.65,-4.81E-03,-1.50E-01
23.684,-4.55E-03,-1.50E-01
23.717,-4.31E-03,-1.50E-01
23.75,-4.08E-03,-1.50E-01
23.784,-3.75E-03,-1.50E-01
23.817,-3.44E-03,-1.50E-01
23.85,-3.17E-03,-1.50E-01
23.884,-2.91E-03,-1.49E-01
23.917,-2.55E-03,-1.49E-01
23.95,-2.45E-03,-1.49E-01
23.984,-2.15E-03,-1.49E-01
24.017,-2.01E-03,-1.49E-01
24.05,-1.97E-03,-1.49E-01
24.084,-1.96E-03,-1.49E-01
24.117,-1.96E-03,-1.49E-01
24.151,-1.97E-03,-1.49E-01
24.184,-2.00E-03,-1.49E-01
24.217,-2.04E-03,-1.49E-01
24.251,-2.11E-03,-1.49E-01
24.284,-2.32E-03,-1.49E-01
24.317,-2.43E-03,-1.49E-01
24.351,-2.65E-03,-1.49E-01
24.384,-2.77E-03,-1.49E-01
24.417,-2.88E-03,-1.49E-01
24.451,-2.91E-03,-1.49E-01
24.484,-2.91E-03,-1.49E-01
24.517,-2.92E-03,-1.49E-01
24.551,-2.94E-03,-1.49E-01
24.584,-2.99E-03,-1.49E-01
24.618,-2.95E-03,-1.49E-01
24.651,-2.90E-03,-1.49E-01
24.684,-2.81E-03,-1.49E-01
24.718,-2.74E-03,-1.49E-01
24.751,-2.72E-03,-1.49E-01
24.784,-2.71E-03,-1.49E-01
24.818,-2.69E-03,-1.49E-01
24.851,-2.70E-03,-1.49E-01
24.884,-2.74E-03,-1.49E-01
24.918,-2.77E-03,-1.49E-01
24.951,-2.85E-03,-1.49E-01
24.984,-2.93E-03,-1.49E-01
25.018,-3.07E-03,-1.49E-01
25.051,-3.32E-03,-1.49E-01
25.085,-3.55E-03,-1.49E-01
25.118,-3.78E-03,-1.49E-01
25.151,-4.12E-03,-1.49E-01
25.185,-4.51E-03,-1.49E-01
25.218,-5.27E-03,-1.49E-01
25.251,-5.69E-03,-1.49E-01
25.285,-6.19E-03,-1.49E-01
25.318,-6.64E-03,-1.49E-01
25.351,-7.06E-03,-1.49E-01
25.385,-7.48E-03,-1.50E-01
25.418,-7.90E-03,-1.49E-01
25.451,-8.30E-03,-1.49E-01
25.485,-8.67E-03,-1.50E-01
