,,,
,t,x,y
,2.28E+01,4.01E-02,-0.33
,2.29E+01,3.99E-02,-0.33
,2.29E+01,3.98E-02,-0.33
,2.29E+01,3.96E-02,-0.33
,2.30E+01,3.95E-02,-0.33
,2.30E+01,3.95E-02,-0.33
,2.30E+01,3.94E-02,-0.33
,2.31E+01,3.94E-02,-0.33
,2.31E+01,3.93E-02,-0.33
,2.31E+01,3.92E-02,-0.33
,2.32E+01,3.89E-02,-0.33
,2.32E+01,3.87E-02,-0.33
,2.32E+01,3.85E-02,-0.33
,2.33E+01,3.82E-02,-0.33
,2.33E+01,3.79E-02,-0.33
,2.33E+01,3.75E-02,-0.33
,2.34E+01,3.71E-02,-0.33
,2.34E+01,3.68E-02,-0.33
,2.34E+01,3.65E-02,-0.33
,2.35E+01,3.59E-02,-0.33
,2.35E+01,3.56E-02,-0.331
,2.35E+01,3.53E-02,-0.331
,2.36E+01,3.51E-02,-0.331
,2.36E+01,3.49E-02,-0.331
,2.36E+01,3.48E-02,-0.331
,2.37E+01,3.46E-02,-0.331
,2.37E+01,3.45E-02,-0.331
,2.37E+01,3.44E-02,-0.331
,2.38E+01,3.44E-02,-0.331
,2.38E+01,3.45E-02,-0.331
,2.38E+01,3.46E-02,-0.331
,2.39E+01,3.46E-02,-0.331
,2.39E+01,3.04E-02,-0.335
,2.39E+01,3.04E-02,-0.335
,2.40E+01,3.02E-02,-0.335
,2.40E+01,3.00E-02,-0.335
,2.40E+01,3.09E-02,-0.334
,2.41E+01,3.07E-02,-0.334
,2.41E+01,3.04E-02,-0.334
,2.41E+01,3.03E-02,-0.334
,2.42E+01,2.99E-02,-0.334
,2.42E+01,2.97E-02,-0.334
,2.42E+01,2.95E-02,-0.334
,2.43E+01,2.94E-02,-0.334
,2.43E+01,2.92E-02,-0.334
,2.43E+01,2.91E-02,-0.334
,2.44E+01,2.90E-02,-0.334
,2.44E+01,2.90E-02,-0.334
,2.44E+01,2.91E-02,-0.334
,2.45E+01,2.92E-02,-0.334
,2.45E+01,2.92E-02,-0.334
