,,
t,x,y
20.048,-5.58E-03,-0.288
20.081,-6.67E-03,-0.288
20.115,-7.66E-03,-0.288
20.148,-8.59E-03,-0.287
20.181,-9.58E-03,-0.287
20.215,-1.11E-02,-0.287
20.248,-1.21E-02,-0.287
20.281,-1.29E-02,-0.287
20.315,-1.39E-02,-0.287
20.348,-1.54E-02,-0.286
20.382,-1.63E-02,-0.286
20.415,-1.70E-02,-0.286
20.448,-1.83E-02,-0.286
20.482,-1.90E-02,-0.286
20.515,-1.97E-02,-0.286
20.548,-2.05E-02,-0.285
20.582,-2.16E-02,-0.285
20.615,-2.23E-02,-0.285
20.648,-2.30E-02,-0.285
20.682,-2.40E-02,-0.285
20.715,-2.47E-02,-0.284
20.748,-2.54E-02,-0.284
20.782,-2.63E-02,-0.284
20.815,-2.69E-02,-0.284
20.849,-2.75E-02,-0.284
20.882,-2.85E-02,-0.283
20.915,-2.92E-02,-0.283
20.949,-2.99E-02,-0.283
20.982,-3.07E-02,-0.283
21.015,-3.13E-02,-0.283
21.049,-3.19E-02,-0.282
21.082,-3.28E-02,-0.282
21.115,-3.35E-02,-0.282
21.149,-3.43E-02,-0.281
21.182,-3.49E-02,-0.281
21.215,-3.56E-02,-0.281
21.249,-3.62E-02,-0.281
21.282,-3.68E-02,-0.28
21.316,-3.73E-02,-0.28
21.349,-3.79E-02,-0.28
21.382,-3.84E-02,-0.279
21.416,-3.90E-02,-0.279
21.449,-3.94E-02,-0.279
21.482,-3.99E-02,-0.278
21.516,-4.03E-02,-0.278
21.549,-4.06E-02,-0.278
21.582,-4.11E-02,-0.278
21.616,-4.13E-02,-0.278
21.649,-4.16E-02,-0.278
21.683,-4.19E-02,-0.277
21.716,-4.23E-02,-0.277
21.749,-4.27E-02,-0.277
21.783,-4.29E-02,-0.277
21.816,-4.32E-02,-0.277
21.849,-4.36E-02,-0.277
21.883,-4.39E-02,-0.277
21.916,-4.41E-02,-0.276
21.949,-4.44E-02,-0.276
21.983,-4.48E-02,-0.276
22.016,-4.50E-02,-0.276
22.049,-4.53E-02,-0.276
22.083,-4.55E-02,-0.275
22.116,-4.60E-02,-0.275
22.15,-4.62E-02,-0.275
22.183,-4.64E-02,-0.275
22.216,-4.67E-02,-0.275
22.25,-4.69E-02,-0.275
22.283,-4.69E-02,-0.275
22.316,-4.70E-02,-0.274
22.35,-4.71E-02,-0.274
22.383,-4.73E-02,-0.274
22.416,-4.73E-02,-0.274
22.45,-4.74E-02,-0.274
22.483,-4.74E-02,-0.274
22.516,-4.73E-02,-0.274
22.55,-4.73E-02,-0.274
22.583,-4.73E-02,-0.274
22.617,-4.72E-02,-0.274
22.65,-4.72E-02,-0.274
22.683,-4.71E-02,-0.274
22.717,-4.71E-02,-0.274
22.75,-4.70E-02,-0.275
22.783,-4.69E-02,-0.274
22.817,-4.68E-02,-0.274
22.85,-4.67E-02,-0.274
22.883,-4.66E-02,-0.274
22.917,-4.66E-02,-0.274
22.95,-4.66E-02,-0.275
22.983,-4.66E-02,-0.274
23.017,-4.66E-02,-0.275
23.05,-4.66E-02,-0.275
23.084,-4.65E-02,-0.275
23.117,-4.65E-02,-0.275
23.15,-4.64E-02,-0.275
23.184,-4.61E-02,-0.275
23.217,-4.59E-02,-0.275
23.25,-4.58E-02,-0.275
23.284,-4.55E-02,-0.275
23.317,-4.53E-02,-0.275
23.35,-4.49E-02,-0.276
23.384,-4.47E-02,-0.276
23.417,-4.43E-02,-0.276
23.45,-4.38E-02,-0.276
23.484,-4.34E-02,-0.276
23.517,-4.31E-02,-0.277
23.551,-4.25E-02,-0.277
23.584,-4.21E-02,-0.277
23.617,-4.16E-02,-0.277
23.651,-4.12E-02,-0.277
23.684,-4.07E-02,-0.277
23.717,-4.02E-02,-0.278
23.751,-3.97E-02,-0.278
23.784,-3.93E-02,-0.278
23.817,-3.88E-02,-0.278
23.851,-3.84E-02,-0.278
23.884,-3.81E-02,-0.278
23.917,-3.75E-02,-0.279
23.951,-3.71E-02,-0.279
23.984,-3.66E-02,-0.279
24.018,-3.62E-02,-0.279
24.051,-3.56E-02,-0.279
24.084,-3.51E-02,-0.279
24.118,-3.46E-02,-0.28
24.151,-3.38E-02,-0.28
24.184,-3.32E-02,-0.28
24.218,-3.26E-02,-0.28
24.251,-3.18E-02,-0.281
24.284,-3.12E-02,-0.281
24.318,-3.06E-02,-0.281
24.351,-2.97E-02,-0.281
24.384,-2.90E-02,-0.281
24.418,-2.82E-02,-0.282
24.451,-2.75E-02,-0.282
24.485,-2.68E-02,-0.282
24.518,-2.59E-02,-0.283
24.551,-2.46E-02,-0.283
24.585,-2.43E-02,-0.283
24.618,-2.36E-02,-0.283
24.651,-2.26E-02,-0.284
24.685,-2.19E-02,-0.284
24.718,-2.12E-02,-0.284
24.751,-2.01E-02,-0.284
24.785,-1.94E-02,-0.285
24.818,-1.87E-02,-0.285
24.851,-2.21E-02,-0.285
24.885,-2.14E-02,-0.285
24.918,-2.07E-02,-0.285
24.952,-1.94E-02,-0.285
24.985,-1.87E-02,-0.285
25.018,-1.80E-02,-0.285
25.052,-1.71E-02,-0.286
25.085,-1.64E-02,-0.286
25.118,-1.49E-02,-0.286
25.152,-1.39E-02,-0.286
25.185,-1.30E-02,-0.286
25.218,-1.19E-02,-0.286
25.252,-1.09E-02,-0.286
25.285,-9.80E-03,-0.286
25.318,-8.45E-03,-0.286
25.352,-7.37E-03,-0.287
25.385,-6.29E-03,-0.287
25.419,-5.22E-03,-0.287
25.452,-4.06E-03,-0.287
25.485,-2.91E-03,-0.287
25.519,-1.69E-03,-0.287
25.552,-4.78E-04,-0.287
25.585,6.24E-04,-0.287
25.619,1.75E-03,-0.287
25.652,2.82E-03,-0.287
25.685,3.90E-03,-0.287
25.719,5.00E-03,-0.287
25.752,6.11E-03,-0.287
25.785,7.15E-03,-0.287
25.819,8.24E-03,-0.286
25.852,9.34E-03,-0.286
25.886,1.04E-02,-0.286
25.919,1.14E-02,-0.286
25.952,1.30E-02,-0.286
25.986,1.40E-02,-0.286
26.019,1.51E-02,-0.286
26.052,1.62E-02,-0.286
26.086,1.80E-02,-0.286
26.119,1.89E-02,-0.285
26.152,2.07E-02,-0.285
26.186,2.16E-02,-0.285
26.219,2.33E-02,-0.284
26.253,2.40E-02,-0.284
26.286,2.56E-02,-0.284
26.319,2.72E-02,-0.283
26.353,2.79E-02,-0.283
26.386,2.93E-02,-0.282
26.419,3.09E-02,-0.282
26.453,3.22E-02,-0.281
26.486,3.27E-02,-0.281
26.519,3.40E-02,-0.28
26.553,3.54E-02,-0.28
26.586,3.66E-02,-0.279
26.619,3.78E-02,-0.279
26.653,3.90E-02,-0.278
